Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Rodrigue Beaubois,21,1,56,700,155,299,45,110,42,52,12,78,74,29,12,54,84,397,27.28424857,25,73.25,74.25,81.75,100,39,139,29.5,129.5,182,7.9,,,3,10.49,3.15
DeJuan Blair,20,1,82,1494,275,495,0,2,88,161,200,526,65,50,39,112,224,638,23.76658233,37,77.25,78.5,86,106.5,33,139.5,26,132.5,277,12,,,18,11.5,3.45
Derrick Brown,22,1,57,535,68,147,2,7,48,72,31,78,19,21,10,19,53,186,18.44154019,40,79.5,80.5,86.5,107.5,35.5,143,30.5,138,225,8.6,,,20,11.26,3.13
Chase Budinger,21,1,74,1488,249,565,92,249,67,87,38,220,88,34,11,48,85,657,23.06736626,44,78.25,79,79,101,38.5,139.5,29.5,130.5,206,10,,,10,11.08,3.24
DeMarre Carroll,23,1,71,795,88,222,0,6,33,53,53,150,33,28,9,24,107,209,15.19850943,27,78.25,79.75,82,105,,,,,207,6.3,,,,,
Omri Casspi,21,1,77,1931,300,672,75,203,117,174,75,349,95,54,17,98,125,792,20.92270741,23,79.75,81.25,81.25,106.5,32.5,139,25.5,132,211,8.6,,,2,11.15,3.28
Earl Clark,22,1,51,383,56,151,2,5,26,36,18,62,21,7,13,23,25,140,18.87740731,14,80.5,82.25,86.5,109.5,33,142.5,28.5,138,228,5.2,,,5,11.17,3.35
Darren Collison,22,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,24.55913276,21,72.25,73.5,75,96.5,33.5,130,30.5,127,166,5.7,,,9,10.45,3.1
Dante Cunningham,22,1,63,707,106,214,0,2,31,48,54,160,14,24,22,15,97,243,19.88566195,33,79,80.25,83,106.5,35,141.5,28,134.5,227,4.8,,,18,11.18,3.26
Stephen Curry,21,1,80,2896,528,1143,166,380,177,200,48,356,472,152,19,243,252,1399,26.26801416,7,74,75.25,75.5,97,35.5,132.5,29.5,126.5,181,5.7,,,10,11.07,3.28
Austin Daye,21,1,69,915,137,295,29,95,46,56,34,174,34,25,26,48,114,349,19.25302077,15,81.75,82.75,86.75,110,28,138,25,135,192,5.5,,,,12.11,3.55
Toney Douglas,23,1,56,1087,179,391,68,175,55,68,40,108,112,42,3,55,116,481,23.08084913,29,73,74,78,97.5,32.5,130,28,125.5,183,5.2,,,15,10.63,3.03
Wayne Ellington,22,1,76,1384,190,448,64,162,61,70,33,159,74,20,5,74,72,505,17.39415318,28,76.25,77.25,78.5,100,38,138,31.5,131.5,202,5.5,,,13,11.14,3.2
Tyreke Evans,20,1,72,2677,533,1165,36,141,348,465,66,380,414,109,26,216,204,1450,27.98430183,4,76,77.25,83.25,104,34,138,28.5,132.5,221,7.1,,,7,11.81,3.17
Jonny Flynn,20,1,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,22.91245789,6,71.25,72.75,76,95.5,40,135.5,33,128.5,196,6.3,,,10,10.86,3.23
Taj Gibson,24,1,82,2204,311,629,0,0,113,175,226,611,70,50,104,114,282,735,19.73487387,26,80.5,81.75,88,109,30,139,25.5,134.5,214,6.6,,,12,11.56,3.41
Danny Green,22,1,20,115,15,39,6,22,4,6,8,17,5,6,3,5,9,40,20.71790435,46,77.25,78.5,82,103,33,136,29,132,208,5.6,,,15,11.3,3.3
Tyler Hansbrough,24,1,29,511,81,225,0,4,84,113,60,138,28,17,8,21,70,246,26.76380626,13,80.25,81.5,83.5,106,34,140,27.5,133.5,234,8.5,,,18,11.12,3.27
James Harden,20,1,76,1738,233,578,93,248,194,240,47,244,137,80,20,106,200,753,22.11266456,3,76,77.25,82.75,103.5,37,140.5,31.5,135,222,10.1,,,17,11.1,3.13
Gerald Henderson,22,1,43,355,37,104,4,19,35,47,15,55,13,10,9,14,25,113,17.23629296,12,76,77,82.25,102.5,35,137.5,31.5,134,215,4.4,,,8,11.17,3.14
Jordan Hill,22,1,47,624,99,201,0,2,46,68,76,175,20,14,21,30,92,244,21.99769391,8,81.25,82.25,85.5,108,35,143,31,139,232,6,,,11,12.23,3.3
Jrue Holiday,19,1,73,1767,230,520,62,159,65,86,56,191,280,79,18,156,153,587,18.9069734,17,75.25,76.25,79,100.5,34,134.5,28.5,129,199,6.3,,,6,10.64,3.21
James Johnson,22,1,65,757,95,210,15,46,51,70,34,128,48,21,43,62,126,256,16.69227741,16,79,79.75,84.75,105.5,35,140.5,30.5,136,257,12,,,18,11.21,3.23
Ty Lawson,22,1,65,1318,201,390,34,83,106,140,42,124,203,48,2,82,89,542,22.70023141,18,71.25,72.5,72.75,94.5,36.5,131,29,123.5,197,6.6,,,14,10.98,3.12
Eric Maynor,22,1,81,1269,154,368,22,71,52,72,21,129,266,40,10,85,115,382,18.93606541,20,74.25,75.25,74.5,97,31.5,128.5,28.5,125.5,164,5.4,,,8,10.78,3.19
Jodie Meeks,22,1,60,719,104,268,42,132,31,39,9,99,39,18,5,25,52,281,19.96421001,41,75,76,76.5,98,37,135,28.5,126.5,211,8,,,14,10.96,3.1
Byron Mullens,20,1,13,54,7,19,0,0,0,0,3,10,1,2,0,4,13,14,9.731666667,24,83.75,85.25,85.5,111,32.5,143.5,28.5,139.5,258,8.5,,,10,11.1,3.45
A.J. Price,23,1,56,865,145,354,60,174,60,75,12,88,106,35,3,59,53,410,24.56566358,52,72.5,74,75.75,97,31,128,26,123,193,12.4,,,11,10.99,3.22
DaJuan Summers,22,1,44,405,46,130,15,42,27,38,14,45,16,8,7,16,52,134,15.50998519,35,79.25,80.5,84.75,106.5,34.5,141,29.5,136,243,6.6,,,15,10.94,3.17
Jermaine Taylor,23,1,31,303,45,119,5,22,33,46,21,46,16,10,3,19,15,128,21.55056436,32,75.5,76.75,80.75,101,37.5,138.5,34,135,207,5.8,,,16,11.54,3.32
