Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,Year
David Andersen,29,1,63,891,147,340,27,78,46,67,54,208,44,15,12,37,119,367,14.1,2009
Antonio Anderson,24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,15,2009
Jeff Ayres,22,1,39,405,43,65,0,0,18,20,25,98,1,7,16,12,76,104,10.4,2009
Rodrigue Beaubois,21,1,56,700,155,299,45,110,42,52,12,78,74,29,12,54,84,397,12.5,2009
DeJuan Blair,20,1,82,1494,275,495,0,2,88,161,200,526,65,50,39,112,224,638,18.2,2009
Jon Brockman,22,1,52,654,55,103,0,0,37,62,105,213,22,15,5,23,115,147,12.6,2009
Derrick Brown,22,1,57,535,68,147,2,7,48,72,31,78,19,21,10,19,53,186,9.4,2009
Chase Budinger,21,1,74,1488,249,565,92,249,67,87,38,220,88,34,11,48,85,657,20.1,2009
DeMarre Carroll,23,1,71,795,88,222,0,6,33,53,53,150,33,28,9,24,107,209,11.2,2009
Omri Casspi,21,1,77,1931,300,672,75,203,117,174,75,349,95,54,17,98,125,792,25.1,2009
Earl Clark,22,1,51,383,56,151,2,5,26,36,18,62,21,7,13,23,25,140,7.5,2009
Darren Collison,22,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,27.8,2009
Dante Cunningham,22,1,63,707,106,214,0,2,31,48,54,160,14,24,22,15,97,243,11.2,2009
JamesOn Curry,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Stephen Curry,21,1,80,2896,528,1143,166,380,177,200,48,356,472,152,19,243,252,1399,36.2,2009
Austin Daye,21,1,69,915,137,295,29,95,46,56,34,174,34,25,26,48,114,349,13.3,2009
DeMar DeRozan,20,1,77,1664,255,512,4,16,148,194,66,223,53,43,18,62,176,662,21.6,2009
Toney Douglas,23,1,56,1087,179,391,68,175,55,68,40,108,112,42,3,55,116,481,19.4,2009
Wayne Ellington,22,1,76,1384,190,448,64,162,61,70,33,159,74,20,5,74,72,505,18.2,2009
Tyreke Evans,20,1,72,2677,533,1165,36,141,348,465,66,380,414,109,26,216,204,1450,37.2,2009
Jonny Flynn,20,1,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,28.9,2009
Sundiata Gaines,23,1,32,217,38,82,7,26,23,46,6,29,39,12,0,14,17,106,6.8,2009
Alonzo Gee,22,1,11,182,28,59,7,9,18,29,15,33,7,7,1,10,13,81,16.5,2009
Taj Gibson,24,1,82,2204,311,629,0,0,113,175,226,611,70,50,104,114,282,735,26.9,2009
Trey Gilder,25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,2.5,2009
Danny Green,22,1,20,115,15,39,6,22,4,6,8,17,5,6,3,5,9,40,5.8,2009
Taylor Griffin,23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,4,2009
Tyler Hansbrough,24,1,29,511,81,225,0,4,84,113,60,138,28,17,8,21,70,246,17.6,2009
James Harden,20,1,76,1738,233,578,93,248,194,240,47,244,137,80,20,106,200,753,22.9,2009
Gerald Henderson,22,1,43,355,37,104,4,19,35,47,15,55,13,10,9,14,25,113,8.3,2009
Jordan Hill,22,1,47,624,99,201,0,2,46,68,76,175,20,14,21,30,92,244,13.3,2009
Jrue Holiday,19,1,73,1767,230,520,62,159,65,86,56,191,280,79,18,156,153,587,24.2,2009
Lester Hudson,25,1,25,131,21,53,5,16,11,13,7,18,13,8,3,14,12,58,5.2,2009
Chris Hunter,25,1,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,13.1,2009
Serge Ibaka,20,1,73,1323,201,370,1,2,58,92,138,397,10,25,97,68,194,461,18.1,2009
Cedric Jackson,23,1,12,74,6,20,1,6,7,12,2,8,14,3,2,11,7,20,6.2,2009
Othyus Jeffers,24,1,14,73,12,29,0,0,13,19,8,19,1,4,0,6,10,37,5.2,2009
